nome_evento,categoria,artigo_wikipedia,tipo_acesso,tipo_agente,data_inicio_extracao,data_fim_extracao
Terremoto Al Haouz Marrocos,desastre_natural,2023_Al_Haouz_earthquake,desktop,user,2023-08-09,2023-11-07
Terremoto Al Haouz Marrocos,desastre_natural,2023_Al_Haouz_earthquake,desktop,spider,2023-08-09,2023-11-07
Terremoto Al Haouz Marrocos,desastre_natural,2023_Al_Haouz_earthquake,desktop,automated,2023-08-09,2023-11-07
Terremoto Al Haouz Marrocos,desastre_natural,2023_Al_Haouz_earthquake,mobile-app,user,2023-08-09,2023-11-07
Terremoto Al Haouz Marrocos,desastre_natural,2023_Al_Haouz_earthquake,mobile-app,spider,2023-08-09,2023-11-07
Terremoto Al Haouz Marrocos,desastre_natural,2023_Al_Haouz_earthquake,mobile-app,automated,2023-08-09,2023-11-07
Terremoto Al Haouz Marrocos,desastre_natural,2023_Al_Haouz_earthquake,mobile-web,user,2023-08-09,2023-11-07
Terremoto Al Haouz Marrocos,desastre_natural,2023_Al_Haouz_earthquake,mobile-web,spider,2023-08-09,2023-11-07
Terremoto Al Haouz Marrocos,desastre_natural,2023_Al_Haouz_earthquake,mobile-web,automated,2023-08-09,2023-11-07
Terremoto Al Haouz Marrocos,desastre_natural,2023_Marrakesh–Safi_earthquake,desktop,user,2023-08-09,2023-11-07
Terremoto Al Haouz Marrocos,desastre_natural,2023_Marrakesh–Safi_earthquake,desktop,spider,2023-08-09,2023-11-07
Terremoto Al Haouz Marrocos,desastre_natural,2023_Marrakesh–Safi_earthquake,desktop,automated,2023-08-09,2023-11-07
Terremoto Al Haouz Marrocos,desastre_natural,2023_Marrakesh–Safi_earthquake,mobile-app,user,2023-08-09,2023-11-07
Terremoto Al Haouz Marrocos,desastre_natural,2023_Marrakesh–Safi_earthquake,mobile-app,spider,2023-08-09,2023-11-07
Terremoto Al Haouz Marrocos,desastre_natural,2023_Marrakesh–Safi_earthquake,mobile-app,automated,2023-08-09,2023-11-07
Terremoto Al Haouz Marrocos,desastre_natural,2023_Marrakesh–Safi_earthquake,mobile-web,user,2023-08-09,2023-11-07
Terremoto Al Haouz Marrocos,desastre_natural,2023_Marrakesh–Safi_earthquake,mobile-web,spider,2023-08-09,2023-11-07
Terremoto Al Haouz Marrocos,desastre_natural,2023_Marrakesh–Safi_earthquake,mobile-web,automated,2023-08-09,2023-11-07
